Et√†,Sesso,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
48,Femmine,366465,382940,388804,395331,399928,404105,424935,438019,452596,462956,478411,508165,500749,500680,496528,492690,494802,480428,484718,476386,473075,476322,459117,443877,444245,439707,430253,412173,412541
49,Maschi,357894,360227,374653,380393,386670,392193,396829,416395,425889,438935,447093,463707,496284,489330,489062,481861,480303,483524,470760,472664,471355,466458,470974,474592,460293,455396,459912,463530,449232
49,Femmine,367808,366647,385857,390794,396119,400913,407729,427813,439569,454693,464036,479248,508508,500229,500049,495995,492006,494321,480305,482867,476715,474728,477197,482037,475662,473675,476144,480980,474604
50,Maschi,358245,357512,360668,375107,380353,386436,392965,397045,415954,425185,438002,446959,463119,494798,487896,487824,480580,479538,482299,468171,473646,471103,466626,445448,444801,442258,437781,416604,415957
50,Femmine,370295,367501,369278,387726,391288,396592,404287,410535,429559,441620,455521,464796,479485,507939,499459,499262,495334,491414,494026,478082,483171,478132,475508,447201,439877,434838,432214,403902,396579
51,Maschi,373760,357837,357415,360983,374862,380016,386760,393165,396499,415185,424271,437670,446108,461668,493112,486370,486478,479659,478051,479429,469300,473237,471116,476766,473445,472524,473990,478606,475285
51,Femmine,386595,369751,369567,370766,388098,391722,399249,407180,412359,431636,442372,456235,464957,479116,506986,498679,498410,494767,490930,491151,478407,484471,478896,483310,479823,477981,477776,480796,477309
52,Maschi,376649,373104,357542,357060,360499,374289,380077,386619,392751,395693,414236,423741,436677,444572,459958,491565,484758,485399,478289,474659,480540,468571,473088,466563,466609,464628,460626,456957,457002
52,Femmine,386417,386000,371308,370502,370966,388358,394014,401415,409143,414395,432383,443104,456328,464282,478271,506056,497597,497603,494239,487595,491553,479621,485090,477062,474934,472852,470821,465013,462885
53,Maschi,394008,375899,372660,356991,356134,359774,374124,379743,385779,392077,394705,413569,422531,435068,442921,458371,489902,483386,483736,475015,475775,479794,468230,455178,459001,457504,450671,436061,439884
53,Femmine,405554,386387,387108,372136,370252,371017,390083,395775,402734,411259,415177,432864,443089,455881,463407,477327,504982,496845,497079,490597,487952,492654,479854,472196,473289,470775,464643,454660,455753
54,Maschi,386053,393241,375286,371915,356039,355056,359231,373443,378780,384671,391094,393806,412256,420784,433153,441100,456695,488422,481769,479767,476000,474908,479187,475189,468753,467661,471940,467935,461498
54,Femmine,397265,405584,387904,387512,371719,369884,372385,391588,396767,404190,411933,415553,432943,442327,454903,462369,476246,503941,496286,493209,490893,488974,492932,498501,490716,488797,492755,498312,490528
55,Maschi,387731,385362,392493,374437,370733,354803,354195,358474,372378,377585,383438,389887,392437,410440,418786,431260,439536,455137,486783,477592,481069,474832,474087,485152,480260,481071,487587,491756,486864
55,Femmine,402793,397342,406848,388683,386857,371149,370517,373597,392427,397845,404472,412280,415471,432129,441306,453861,461194,475227,503388,492347,493808,491849,489034,464006,462906,460947,458131,433104,432004
56,Maschi,303624,386795,384614,391557,373156,369328,353747,353028,357278,371033,376209,382250,388391,390470,408451,416879,429500,437987,453415,482300,478662,479716,473883,488425,496373,497427,491594,506136,514084
56,Femmine,316897,402532,398449,407521,388456,386128,371360,371103,374195,393238,398011,404470,412007,414508,430989,440114,452738,460125,474410,498964,492768,494413,491676,516833,522831,524475,521738,546898,552895
57,Maschi,311363,302262,385746,383681,390110,371721,367886,352273,351302,355720,369584,374687,380475,386480,388218,406309,414957,427661,436116,449183,483300,477089,478649,479297,492327,496569,492030,494000,507030
57,Femmine,326841,316371,403026,399049,407359,388218,386054,371332,371019,374737,393072,397821,403875,410901,413339,429802,438847,451673,459353,470280,499325,493124,494278,492596,502600,505327,500786,500504,510508
58,Maschi,315356,310098,300793,384503,382254,388384,370235,366470,350622,349470,353981,367904,372654,378206,384321,386041,404152,413040,425668,431452,449809,481573,475770,487549,512330,529182,538099,544694,569474
58,Femmine,334764,326244,316320,403179,398942,407054,388409,385951,371003,371063,374446,392716,397037,402768,409442,411964,428318,437639,450711,454905,470176,499748,492722,503831,525375,540176,548229,553845,575388
59,Maschi,314309,313625,308524,299134,382853,380597,386674,368587,364549,348773,347559,352155,365765,370303,375701,381812,383847,401980,411026,420581,431801,447787,479751,501939,501967,517953,549917,572123,572152
59,Femmine,337080,334181,326114,315927,402724,398676,407058,388570,385444,370683,370375,373954,391890,395793,401306,408019,410519,426948,436621,446361,454417,470470,499138,525539,528992,545045,573713,600109,603562
60,Maschi,317142,312448,311934,306795,297257,380949,378750,384666,366604,362209,346670,345464,349971,363367,367712,373298,379375,381659,399772,405934,420605,429758,445861,442203,444409,453561,469664,466005,468211
60,Femmine,342897,336164,333825,325806,315168,402187,398634,407209,388245,384880,369855,369650,372885,390495,394070,399758,406350,409121,425767,432200,445450,454591,469662,466538,469740,478881,493952,490830,494032
61,Maschi,349088,314989,310251,309907,304815,295240,378777,376669,382337,364116,359837,344333,343019,347396,360467,365055,370517,376891,379385,394296,405827,418279,427730,448307,463785,476237,485688,506270,521748
61,Femmine,379810,341841,335319,333183,325030,314166,401801,398578,406834,387857,383904,368874,368357,371465,388687,392325,397946,404686,407946,421054,430828,445337,453553,473431,494219,508728,516945,536816,557603
62,Maschi,345216,346471,312485,307862,307286,302549,292974,376473,374164,379688,361558,357018,341571,340215,344519,357654,362120,367913,374272,373824,393855,403523,416061,417285,434900,448459,457971,460122,477737
62,Femmine,373870,378480,340670,334179,332085,324137,313273,401281,398165,406334,386823,382561,367457,366633,369593,386942,390419,396279,403219,402963,419315,430584,444128,441522,450528,461797,475341,472742,481748
63,Maschi,333879,342175,343399,309759,305216,304824,300216,290749,373839,371553,376695,358507,353753,338447,337144,341549,354672,359220,365197,368091,373144,391182,401180,412061,427113,441143,454135,464148,479200
63,Femmine,364927,372755,377030,339406,332775,331023,323161,312377,400469,397477,405061,385196,380681,365549,364697,367794,385062,388661,394534,398570,400873,418597,429136,442059,455363,468868,482559,494566,507870
64,Maschi,307731,330833,338754,340142,306656,302330,302014,297684,287995,370853,368344,373061,355002,350234,334827,333942,338289,351583,356296,359064,367086,370180,388370,388908,393945,402834,415578,418051,423089
64,Femmine,340237,363759,371531,375270,337812,331289,329745,322370,311253,399412,396227,403174,383108,378570,363373,362669,365709,383041,386962,390100,396301,400259,417065,427176,430909,439292,452336,463673,467406
65,Maschi,292289,304794,327434,335224,336566,303552,299525,299221,294812,285002,367416,364463,369118,351362,346468,331416,330506,335079,348378,350200,357674,363931,367172,362559,371780,378037,381278,376665,385886
65,Femmine,329638,339141,362478,370117,373404,336232,329688,328561,321074,309954,397814,394031,400647,380743,376067,361030,360443,363608,381206,382732,387503,395446,398413,395106,408022,415965,418932,415621,428537
66,Maschi,298656,288470,301424,323834,331291,332664,300281,296414,296051,291815,281885,363027,360211,364783,347240,342570,327913,327125,331878,342178,348305,354269,360685,370419,375947,381911,388327,398060,403588
66,Femmine,339492,327779,337787,361028,368160,371203,334244,328237,327098,319607,308433,395395,391258,397936,378044,373652,358837,358334,361610,376946,379960,386248,393327,412435,417934,424222,431301,450406,455906
67,Maschi,287723,294246,284153,297531,319595,326901,328524,296493,292785,292293,288280,278120,357958,355537,359887,342718,338185,324044,323404,325411,339780,344662,350799,356084,368444,376489,380229,386238,398598
67,Femmine,332287,337314,325670,336316,358951,366025,368827,332433,326368,325189,317979,306228,392470,388513,394927,375279,371028,356386,356098,357196,373354,378252,383711,379352,383595,388494,393953,389594,393838
68,Maschi,280088,283133,289320,279574,293170,314914,322183,324201,292233,288700,288316,283968,273815,352690,350198,354712,338055,333553,320057,319361,323307,335934,340770,356864,377281,389908,394744,410841,431259
68,Femmine,327011,329963,334836,323362,334367,356823,363578,366469,330172,324140,323143,315606,303629,389142,385242,391756,372375,368268,353899,353270,354570,371628,375749,361117,372066,378834,381414,370677,381625
69,Maschi,268085,274779,277868,284005,274546,288608,309955,317252,319144,287713,284304,283581,279245,269542,346792,344748,349193,333082,329023,315798,314146,318955,332025,333307,329875,334684,347754,349047,345615
69,Femmine,322080,324493,327241,332101,320704,332305,354476,361096,363683,327531,321761,320373,312739,300848,385509,381850,388241,369230,365461,351241,348843,352187,369420,372176,361642,364986,382219,384984,374451
70,Maschi,266650,262273,268910,272377,278203,269358,283630,304583,311724,313720,282976,279070,278239,274323,264627,340863,338859,343511,328058,324134,309999,309188,314318,322240,315487,314676,319806,327711,320958
70,Femmine,326356,319013,321349,324361,328968,317682,329875,352068,358198,360445,324795,318785,317047,309661,297725,381705,378008,384579,366082,362392,346511,346323,349292,362588,359208,359020,361989,375289,371909
71,Maschi,270106,260102,255734,262821,266279,272415,263806,278351,298766,305753,307960,277329,273468,272828,268994,259602,334372,332677,337758,322436,317704,304607,304083,279686,264149,254720,251404,227809,212272
71,Femmine,338662,322608,315206,318004,321104,325689,314379,327317,349080,354816,357098,321350,315237,313693,306256,294474,377512,373966,381061,362533,357328,343361,342972,313396,295597,285139,282027,253253,235455
72,Maschi,242350,262663,252750,249060,255973,259950,266016,257907,272553,292447,299524,301397,271197,267714,266724,263439,254147,327411,326516,331255,315416,311434,298980,302228,289744,279915,272742,274112,261628
72,Femmine,308947,334410,318217,311399,314310,317518,321952,311009,323938,345690,351158,352887,317400,311586,309729,302586,290767,373031,370061,377092,357140,353764,339697,349968,334574,323409,316475,324153,308760
73,Maschi,232157,234806,254691,245250,241826,248837,253261,259341,251240,266317,285869,292337,294134,264916,261148,260372,257271,248503,320411,319265,323313,308691,305037,344258,343113,344236,347635,374997,373852
73,Femmine,304100,304704,329365,313627,306840,310132,313658,318016,306987,320479,341772,346553,348255,313292,307140,305626,298366,286936,368668,365772,371104,353143,349450,392612,391127,392227,395922,425765,424280
74,Maschi,221866,224282,226546,246467,237340,234543,241432,246093,252049,244233,259553,278178,284585,286601,257933,254420,253537,250729,242563,312420,310853,315600,301868,372362,375084,372376,364256,433215,435937
74,Femmine,297974,299405,299420,324117,308467,302067,305605,309203,313406,302571,316296,336737,341565,343459,308429,302547,301054,294077,283182,363872,359551,366069,348453,429394,431250,427175,417191,496165,498021
75,Maschi,206836,214050,215526,218297,237669,229293,226560,233671,238282,244366,237140,251820,270055,276728,278103,250642,247035,246473,244277,235648,303291,302476,307840,315740,342600,362622,375800,377639,404499
75,Femmine,289731,292910,293746,294109,317998,302897,296773,300445,304193,308260,297983,311125,331186,336287,337725,303385,297431,296099,289606,278760,356948,354023,360537,367212,397378,419523,433639,434078,464245
76,Maschi,195484,198355,205374,206827,209551,228663,220503,218239,225328,230152,236452,229025,243711,261569,267718,269390,242491,239355,239378,236450,227616,294157,294064,275393,298167,320015,340922,320943,343717
76,Femmine,283492,283855,286665,287957,288040,311500,296747,291121,294627,298435,302676,292442,305376,325315,329979,331814,297729,292150,291246,284553,272894,350711,347927,323570,349118,373500,396699,370270,395819
77,Maschi,182007,186635,189198,196987,197589,200616,219222,211311,209318,216719,221687,227563,220598,235069,251863,258690,259761,234110,231750,230615,227767,219562,284834,242931,254026,267697,283934,264383,275478
77,Femmine,272342,276515,276807,280532,281336,281460,304305,289745,284433,288418,292181,296314,286405,299262,318372,323180,324864,291653,286596,285333,278056,267324,343900,292668,303788,318046,335430,311486,322607
78,Maschi,170675,173240,176881,180024,187874,188203,191462,209334,201448,200162,207810,212174,218284,212053,225536,242331,248606,250102,225808,222215,221025,218972,211931,198742,199554,194872,184692,174672,175484
78,Femmine,266140,265108,268535,269595,273248,274293,274199,296385,282067,277061,281554,285070,289329,279834,291763,311084,315430,317534,285508,279972,278075,271655,261173,264643,262278,255858,245376,248850,246485
79,Maschi,155308,159921,163588,167624,170586,178794,178378,181457,198693,191492,190524,197850,202297,208514,202151,215848,231777,238254,240020,215706,211994,211468,210342,189460,189565,189039,187913,167031,167136
79,Femmine,255925,258060,256538,260379,261379,265384,266285,266101,287443,273713,269405,273683,277333,281748,271832,284208,302592,307068,309824,277958,271851,270587,264845,227328,230526,229262,223520,186006,189204
80,Maschi,140864,144806,148236,153267,157199,160877,168826,167825,171202,187170,181207,180034,187304,192113,197720,192451,205214,220747,227517,227503,204923,201754,202021,201657,182883,175155,178475,177151,158377
80,Femmine,243600,247392,248691,247719,251114,252818,256626,257247,257051,277831,264941,260768,265009,268941,272564,263653,275421,293682,298567,300257,269090,263597,262650,264640,238682,227065,229788,230775,204817
81,Maschi,130286,129717,133013,136382,142361,147084,150518,157723,156783,160301,174754,170235,169272,176607,180907,186918,181546,194208,209720,214560,214994,193892,191608,210055,201066,194111,189198,204899,195910
81,Femmine,229180,234367,237164,239120,237869,241154,242848,246769,247272,247053,267765,255072,251571,255752,259008,263179,254323,265955,284151,288098,289391,259877,254887,277400,264762,254458,246499,265116,252478
82,Maschi,78010,116995,118645,122668,124189,129904,136173,139637,146611,144963,149547,162554,158781,158764,164759,169654,174921,170547,183104,195982,201163,201752,182933,214658,213510,211246,207873,231024,229877
82,Femmine,140926,219408,223016,227127,228040,227369,230169,231758,235851,236524,236652,256292,244531,241422,244593,248719,252162,244166,255966,272579,276268,277832,250132,289688,286986,282260,275522,304098,301396
83,Maschi,54136,70850,103118,108680,111451,113418,117044,122388,125872,132849,133558,137790,150477,147406,146783,153241,157393,163189,159380,169321,182174,187379,188829,203251,212208,217413,218863,233288,242245
83,Femmine,101434,133133,207775,211874,215469,215783,215473,217665,219844,224073,225044,225089,244227,233353,229533,233268,236817,240485,233554,243701,259546,263599,265675,281587,295506,302437,302391,318940,332859
84,Maschi,51311,48660,63598,92784,98080,100431,102624,105589,110219,113902,117944,121692,126266,138188,134914,135171,140744,145398,151066,145752,156136,167906,174057,171045,188422,200192,206343,203328,220705
84,Femmine,98414,94892,124334,194478,198579,202869,202735,202168,204448,206958,211647,212333,212887,231370,219734,217424,220396,224338,228511,220210,230238,245636,250543,245888,261611,273280,280883,275503,291227
85,Maschi,57260,45434,43065,56943,82922,88176,90132,92900,95379,99666,102648,106086,110172,114599,124952,122931,122794,128393,132945,136315,132632,142357,154318,168867,176349,186074,198035,212586,220068
85,Femmine,113611,91165,87596,116046,179652,184893,189124,188729,188080,190600,193449,197679,199094,200100,216264,206292,203753,206790,211312,213540,206074,215951,231568,245422,249557,259434,275051,288904,293039
86,Maschi,63204,50189,39566,37860,50186,73670,78360,79806,83358,85790,89057,91117,94859,98780,102058,112240,110032,110640,115967,118356,122383,119118,129310,130777,131777,134768,139752,142756,143756
86,Femmine,131070,104160,83029,80679,106521,164603,169886,174564,173747,173739,176259,178928,183266,185248,185166,201195,191007,189589,192830,195261,197860,190900,201391,202238,200761,201859,205536,208481,207004
87,Maschi,55684,54627,42904,34425,32713,43676,64516,68713,70011,74388,75568,77842,80117,84022,86724,90570,99045,97788,98570,101657,104653,108115,106580,110448,114140,116030,116117,119382,123074
87,Femmine,119013,118198,93491,75875,73163,97199,148854,153863,158391,158557,158729,160835,164164,168470,169076,170537,184256,175587,174836,175772,178743,180952,175795,175046,179042,179315,175862,174548,178543
88,Maschi,48619,47420,46042,36736,29349,27997,37613,55639,59444,60837,64787,64975,67163,69610,72431,75497,78408,86747,85751,84718,88175,90989,95175,97715,99164,101978,106164,108705,110154
88,Femmine,106928,105238,103055,84009,67976,65858,87179,132046,136290,140742,142577,142792,145744,149138,151869,153693,154077,167490,159752,157267,158660,160844,164400,167048,167881,170065,173621,176269,177102
89,Maschi,39876,40424,39049,38602,30671,24918,23577,31743,47648,50638,51941,54651,55318,57239,58874,62055,64174,67202,74576,72167,72142,74831,78602,73624,75223,77912,81683,76705,78304
89,Femmine,93168,91227,88777,90145,73887,60276,58362,76933,117639,121334,122092,126324,127451,130480,131864,135815,136402,137574,150085,141049,139930,140419,144433,131263,128226,128715,132729,119560,116522
90,Maschi,30018,32581,32661,32179,31493,25460,20626,19486,26278,40285,42398,43102,45541,46367,47285,49465,51737,53941,56540,61359,60361,59756,63218,67897,66321,66820,69397,74329,72753
90,Femmine,75102,79856,77057,77023,77438,64430,52648,50723,66724,102945,105576,106197,110823,112174,113300,116076,118638,119934,121480,130133,123386,121773,123444,132487,127595,125982,127653,136699,131807
91,Maschi,23792,23915,25684,26330,25952,25690,20518,16651,15826,21452,33288,34376,35120,37409,37499,38744,40143,42805,44385,45462,50024,48855,49543,52355,54316,55532,56004,58434,60396
91,Femmine,62399,63138,66372,65662,65223,66167,55188,44873,43240,57204,88526,90055,91708,95805,95411,98132,99427,102465,103848,103024,111473,104919,105054,108314,109842,110045,108923,111475,113003
92,Maschi,16128,18639,18343,20232,20568,20481,20285,16225,13105,12581,17333,26385,27352,28203,29601,30050,30650,32334,34603,34525,36098,39332,39224,40063,42178,43988,45492,45699,47814
92,Femmine,46385,51320,51390,55571,54320,55024,55527,46367,37600,36323,48310,73811,76257,77591,79857,80943,82326,84147,86770,85660,86552,92832,88811,90155,92781,94530,95400,94908,97534
93,Maschi,11500,12293,14038,14184,15515,15945,15939,15640,12546,10234,9992,13408,20601,21417,21657,23238,23208,24059,25393,26278,26727,27464,30701,30554,31182,32514,34551,34963,35591
93,Femmine,35736,37424,40661,42065,45028,44855,45437,45585,37960,31168,30023,39462,60836,63285,63309,66322,66497,68264,69890,70004,70213,70257,76769,74369,74723,76583,79949,78965,79319
94,Maschi,7385,8472,8989,10680,10572,11716,12071,11878,11813,9555,7914,7537,10166,15765,16099,16590,17466,17734,18209,18570,19723,19574,20854,21052,21722,22376,23015,23413,24082
94,Femmine,24856,28133,28824,32529,33072,36080,36006,36675,37162,30787,25347,23847,31669,49376,50295,51497,53178,53762,55242,54643,55782,55020,56482,55197,54991,55265,56021,54912,54706
95,Maschi,5180,5312,5973,6613,7635,7690,8642,8808,8798,8855,7250,5820,5485,7552,11326,11864,12074,13009,13171,12913,13473,13952,14421,14384,14875,15354,15823,15787,16278
95,Femmine,18183,18999,20981,22377,24872,25859,28062,28132,29293,29881,24478,19690,18744,25137,38015,39690,40152,41874,42478,41947,42582,42500,43022,42234,41553,41471,41993,41205,40524
96,Maschi,3470,3718,3605,4264,4583,5490,5502,6057,6281,6392,6605,5138,4227,3998,5302,8179,8400,8761,9311,9066,9083,9180,9933,9622,9568,9834,10421,10168,10113
96,Femmine,12930,13536,13889,15791,16539,18856,19552,21233,21805,23388,23467,18384,15148,14515,18968,29445,30307,31075,32136,31227,31719,31452,32104,30696,29509,29242,29894,28486,27299
97,Maschi,2107,2386,2461,2483,2831,3218,3779,3764,4264,4411,4745,4490,3562,2994,2721,3704,5626,5941,6123,6167,6196,5879,6340,6310,6207,6230,6380,6447,6343
97,Femmine,8874,9411,9519,10275,11240,12138,13780,14415,15939,16894,18051,17149,13596,11489,10525,14256,21681,22901,23179,22849,22975,22541,23031,22639,22431,22425,22623,22305,22096
98,Maschi,1252,1406,1531,1668,1647,1869,2136,2499,2539,2955,3132,3169,2994,2435,1992,1882,2445,3829,4007,3998,4117,4000,3950,4119,4108,4100,4095,4208,4197
98,Femmine,5586,6237,6370,6837,7078,8019,8735,9850,10438,11785,12634,12956,12368,9951,8150,7725,10250,15821,16553,16115,16411,15836,16264,15398,14951,14806,14962,14151,13705
99,Maschi,861,867,891,1005,1062,1048,1196,1413,1616,1678,2066,2058,2043,1998,1534,1314,1264,1616,2529,2526,2571,2528,2659,3021,3117,3230,3362,3633,3728
99,Femmine,4005,3835,4080,4406,4620,4897,5447,6056,6931,7529,8725,8647,9110,8730,6724,5831,5425,7369,10892,11109,11171,10875,11180,12921,13150,13455,13837,15178,15408
